Title,Category,Rating,Year,Length,Type,Age,Genre
The Colbert Report,['self'],8.4/10,TV-14,30m,TV Series,,"['Comedy', 'News', 'Talk-Show']"
American Latino TV,['self'],7.4/10,2004–,,TV Series,,[]
LatiNation,['self'],7.1/10,2004–,,TV Series,,[]
Reel Junkie,['self'],5.3/10,2007–,,TV Series,,['Talk-Show']
Up Close with Carrie Keagan,['self'],4.0/10,2007–,,TV Series,,['Talk-Show']
2013 ALMA Awards,['self'],,2013,,Movie,,[]
Quentin Tarantino: 20 Years of Filmmaking,['self'],6.6/10,2012,2h 5m,Movie,,['Documentary']
2012 ALMA Awards,['self'],7.7/10,2012,,Movie,,[]
Spoilers with Kevin Smith,['self'],6.8/10,2012–2014,30m,TV Series,,['Talk-Show']
2012 Texas Film Hall of Fame Awards,['self'],,2012,57m,Movie,,[]
Side by Side,['self'],7.6/10,2012,1h 39m,Movie,Not Rated,['Documentary']
Piper's Picks TV,['self'],9.0/10,2008–,,TV Series,,"['Family', 'Talk-Show']"
Piper's QUICK Picks,['self'],9.1/10,2010–,,TV Series,,['Talk-Show']
On Story,['self'],6.4/10,2011–,27m,TV Series,,['Talk-Show']
Decloaking the Invisible: Alien Terrain,['self'],,2010,11m,Video,,['Short']
IMDb's 20th Anniversary Star of the Day,['self'],7.2/10,2010,,TV Series,,['Documentary']
Días de cine,['self'],6.8/10,1991–,1h,TV Series,,['News']
The Soup,['self'],8.2/10,TV-14,25m,TV Series,,['Comedy']
Starz Inside: Fantastic Flesh,['self'],7.4/10,TV-14,1h,TV Movie,,"['Documentary', 'History']"
Dead On: The Life and Cinema of George A. Romero,['self'],6.2/10,2008,,Movie,,"['Documentary', 'Biography']"
The Shark Is Still Working,['self'],7.7/10,2007,1h 40m,Movie,Not Rated,['Documentary']
The Hot Rods of Death Proof,['self'],5.9/10,2007,12m,Video,,"['Documentary', 'Short']"
Scream Awards 2007,['self'],7.1/10,2007,,Movie,,[]
Charlie Rose,['self'],7.5/10,1991–2017,1h,TV Series,,"['News', 'Talk-Show']"
The Late Late Show with Craig Ferguson,['self'],8.4/10,TV-14,40m,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
The Tonight Show with Jay Leno,['self'],5.3/10,TV-14,1h 2m,TV Series,,"['Comedy', 'Music', 'Talk-Show']"
My Shot With,['self'],,2005–,,TV Series,,['Reality-TV']
The 79th Annual Academy Awards,['self'],7.1/10,TV-14,3h 52m,Movie,,['News']
Scream Awards 2006,['self'],8.0/10,2006,2h,Movie,,['News']
2005 Taurus World Stunt Awards,['self'],5.0/10,2005,,Movie,,['Action']
Sin City: The Premiere,['self'],6.7/10,2005,30m,TV Movie,,['Documentary']
